gene_id,gene_name,eggNOG_OGs,Description,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,accession,old_locus_tag,start,end,strand,gene_product,COG,operon
XNR_RS19665,XNR_RS19665,"COG2909@1|root,COG2909@2|Bacteria,2GJXF@201174|Actinobacteria",luxR family,-,-,-,-,-,-,-,-,-,-,-,"AAA_16,GerE",NC_020990.1,XNR_3971,4514166,4516844,+,LuxR family transcriptional regulator,Transcription,Op2968
XNR_RS19670,XNR_RS19670,"2BGWA@1|root,32AW4@2|Bacteria,2IB77@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_3972,4517019,4517639,+,hypothetical protein,-,Op2969
XNR_RS19675,XNR_RS19675,"COG2132@1|root,COG2132@2|Bacteria,2I8HQ@201174|Actinobacteria",Multicopper oxidase,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_3973,4517675,4518688,+,hypothetical protein,"Secondary metabolites biosynthesis, transport and catabolism",Op2969
XNR_RS19680,XNR_RS19680,"COG1744@1|root,COG1744@2|Bacteria,2GMFS@201174|Actinobacteria",basic membrane,-,-,ko:K07335,-,-,-,-,ko00000,-,-,-,Bmp,NC_020990.1,XNR_3974,4519024,4520064,+,BMP family ABC transporter substrate-binding protein,Function unknown,Op2970
XNR_RS19685,yufO,"COG3845@1|root,COG3845@2|Bacteria,2H7KJ@201174|Actinobacteria",ABC transporter,-,3.6.3.17,ko:K02056,-,M00221,-,-,"ko00000,ko00002,ko01000,ko02000",3.A.1.2,-,-,ABC_tran,NC_020990.1,XNR_3975,4520438,4522219,+,ABC transporter ATP-binding protein,Function unknown,Op2971
XNR_RS19690,XNR_RS19690,"COG4603@1|root,COG4603@2|Bacteria,2GKAZ@201174|Actinobacteria",Belongs to the binding-protein-dependent transport system permease family,-,-,ko:K02057,-,M00221,-,-,"ko00000,ko00002,ko02000",3.A.1.2,-,-,BPD_transp_2,NC_020990.1,XNR_3976,4522216,4523442,+,ABC transporter permease,Function unknown,Op2971
XNR_RS19695,XNR_RS19695,"COG1079@1|root,COG1079@2|Bacteria,2GKMB@201174|Actinobacteria",Belongs to the binding-protein-dependent transport system permease family,-,-,ko:K02057,-,M00221,-,-,"ko00000,ko00002,ko02000",3.A.1.2,-,-,BPD_transp_2,NC_020990.1,XNR_3977,4523439,4524707,+,ABC transporter permease,Function unknown,Op2971
XNR_RS19700,cdd,"COG0295@1|root,COG0295@2|Bacteria,2IHP7@201174|Actinobacteria",This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis,"GO:0003674,GO:0003824,GO:0004126,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006206,GO:0006213,GO:0006216,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0008655,GO:0009056,GO:0009058,GO:0009112,GO:0009116,GO:0009119,GO:0009163,GO:0009164,GO:0009972,GO:0009987,GO:0016020,GO:0016787,GO:0016810,GO:0016814,GO:0018130,GO:0019239,GO:0019438,GO:0019439,GO:0019856,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0034656,GO:0042454,GO:0042455,GO:0043094,GO:0043100,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044282,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046087,GO:0046108,GO:0046109,GO:0046112,GO:0046131,GO:0046132,GO:0046133,GO:0046134,GO:0046135,GO:0046483,GO:0046700,GO:0046872,GO:0046914,GO:0047844,GO:0055086,GO:0071704,GO:0071944,GO:0072527,GO:0072528,GO:0072529,GO:1901135,GO:1901136,GO:1901137,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901657,GO:1901658,GO:1901659",3.5.4.5,ko:K01489,"ko00240,ko00983,ko01100,map00240,map00983,map01100",-,"R01878,R02485,R08221","RC00074,RC00514","ko00000,ko00001,ko01000",-,-,-,"dCMP_cyt_deam_1,dCMP_cyt_deam_2",NC_020990.1,XNR_3978,4524704,4525144,+,cytidine deaminase,Nucleotide transport and metabolism,Op2971
XNR_RS19705,deoA,"COG0213@1|root,COG0213@2|Bacteria,2GJH5@201174|Actinobacteria",phosphorylase,"GO:0003674,GO:0003824,GO:0004645,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0009032,GO:0016740,GO:0016757,GO:0016758,GO:0016763,GO:0044424,GO:0044444,GO:0044464","2.4.2.2,2.4.2.4","ko:K00756,ko:K00758","ko00240,ko00983,ko01100,ko05219,map00240,map00983,map01100,map05219",-,"R01570,R01876,R02296,R02484,R08222,R08230",RC00063,"ko00000,ko00001,ko01000",-,-,-,"Glycos_trans_3N,Glycos_transf_3,PYNP_C",NC_020990.1,XNR_3979,4525252,4526529,+,thymidine phosphorylase,Nucleotide transport and metabolism,Op2971
XNR_RS19710,XNR_RS19710,"2B42Y@1|root,31WTH@2|Bacteria,2INUX@201174|Actinobacteria",STAS domain,-,-,-,-,-,-,-,-,-,-,-,STAS_2,NC_020990.1,XNR_3980,4526596,4526898,+,STAS domain-containing protein,Function unknown,Op2972
XNR_RS19715,XNR_RS19715,"COG1695@1|root,COG1695@2|Bacteria,2IG8U@201174|Actinobacteria",Transcriptional regulator,-,-,-,-,-,-,-,-,-,-,-,PadR,NC_020990.1,XNR_3981,4526978,4527571,+,PadR family transcriptional regulator,Transcription,Op2973
XNR_RS19720,XNR_RS19720,"COG2723@1|root,COG2723@2|Bacteria,2GK9K@201174|Actinobacteria",6-phospho-beta-galactosidase activity,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_3982,4527584,4528579,+,hypothetical protein,Carbohydrate transport and metabolism,Op2973
XNR_RS19725,XNR_RS19725,"COG3300@1|root,COG3300@2|Bacteria,2GMG6@201174|Actinobacteria",PFAM MHYT domain protein,-,-,-,-,-,-,-,-,-,-,-,MHYT,NC_020990.1,XNR_3983,4528749,4529630,+,membrane protein,Signal transduction mechanisms,Op2974
XNR_RS19730,sigG,"COG1595@1|root,COG1595@2|Bacteria,2GMRK@201174|Actinobacteria","belongs to the sigma-70 factor family, ECF subfamily",-,-,ko:K03088,-,-,-,-,"ko00000,ko03021",-,-,-,"NTF2,Sigma70_r2,Sigma70_r4_2,SnoaL_2",NC_020990.1,XNR_3984,4529660,4530784,-,sigma-70 family RNA polymerase sigma factor,Transcription,Op2975
XNR_RS19735,ynfM,"COG0477@1|root,COG2814@2|Bacteria,2GMWE@201174|Actinobacteria",Major facilitator superfamily,-,-,ko:K08224,-,-,-,-,"ko00000,ko02000",2.A.1.36,-,-,"MFS_1,Sugar_tr",NC_020990.1,XNR_3985,4530933,4532288,-,MFS transporter,Amino acid transport and metabolism,Op2976
XNR_RS19740,XNR_RS19740,"COG0583@1|root,COG0583@2|Bacteria,2GTX3@201174|Actinobacteria",transcriptional regulator,-,-,ko:K09681,-,-,-,-,"ko00000,ko03000",-,-,-,"HTH_1,LysR_substrate",NC_020990.1,XNR_3986,4532351,4533376,+,LysR family transcriptional regulator,Transcription,Op2977
XNR_RS19745,XNR_RS19745,"2ECN2@1|root,336JZ@2|Bacteria,2IRKU@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_3987,4533330,4533680,-,hypothetical protein,-,Op2978
XNR_RS19750,XNR_RS19750,"COG0693@1|root,COG0693@2|Bacteria,2H6FV@201174|Actinobacteria",ThiJ PfpI,-,-,-,-,-,-,-,-,-,-,-,DJ-1_PfpI,NC_020990.1,XNR_3988,4533730,4534410,-,DJ-1/PfpI family protein,Function unknown,Op2979
XNR_RS19755,XNR_RS19755,"COG4977@1|root,COG4977@2|Bacteria,2GIRA@201174|Actinobacteria",Transcriptional regulator containing an amidase domain and an AraC-type DNA-binding HTH domain,-,-,-,-,-,-,-,-,-,-,-,"DJ-1_PfpI,HTH_18,HTH_AraC",NC_020990.1,XNR_3989,4534634,4535572,+,helix-turn-helix domain-containing protein,Transcription,Op2980
XNR_RS19760,XNR_RS19760,"COG0400@1|root,COG0400@2|Bacteria,2GM4K@201174|Actinobacteria",carboxylic ester hydrolase activity,-,-,-,-,-,-,-,-,-,-,-,"Abhydrolase_6,DLH,Peptidase_S9",NC_020990.1,XNR_3990,4535613,4536371,-,dienelactone hydrolase family protein,Function unknown,Op2981
XNR_RS19765,add,"COG1816@1|root,COG1816@2|Bacteria,2GJ6I@201174|Actinobacteria",Catalyzes the hydrolytic deamination of adenine to hypoxanthine. Plays an important role in the purine salvage pathway and in nitrogen catabolism,"GO:0003674,GO:0003824,GO:0004000,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006144,GO:0006152,GO:0006154,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009112,GO:0009113,GO:0009116,GO:0009119,GO:0009163,GO:0009164,GO:0009987,GO:0016787,GO:0016810,GO:0016814,GO:0017144,GO:0018130,GO:0019239,GO:0019438,GO:0019439,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0034656,GO:0042278,GO:0042440,GO:0042451,GO:0042454,GO:0042455,GO:0042737,GO:0043094,GO:0043096,GO:0043101,GO:0043103,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044282,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046085,GO:0046100,GO:0046101,GO:0046102,GO:0046103,GO:0046112,GO:0046128,GO:0046129,GO:0046130,GO:0046148,GO:0046483,GO:0046700,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0072523,GO:1901135,GO:1901136,GO:1901137,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901657,GO:1901658,GO:1901659",3.5.4.4,ko:K01488,"ko00230,ko01100,ko05340,map00230,map01100,map05340",-,"R01560,R02556",RC00477,"ko00000,ko00001,ko01000",-,-,iNJ661.Rv3313c,A_deaminase,NC_020990.1,XNR_3991,4536505,4537671,+,adenosine deaminase,Nucleotide transport and metabolism,Op2982
XNR_RS19775,pspC1,"COG1983@1|root,COG1983@2|Bacteria,2GQG0@201174|Actinobacteria",PspC domain protein,-,-,ko:K03973,-,-,-,-,"ko00000,ko02048,ko03000",-,-,-,PspC,NC_020990.1,XNR_3993,4538301,4538507,-,PspC domain-containing protein,Transcription,Op2984
XNR_RS19780,XNR_RS19780,"COG4767@1|root,COG4767@2|Bacteria,2IHWY@201174|Actinobacteria",VanZ like family,-,-,-,-,-,-,-,-,-,-,-,VanZ,NC_020990.1,XNR_3994,4538630,4539256,-,VanZ family protein,Defense mechanisms,Op2985
XNR_RS19785,XNR_RS19785,"2F70N@1|root,33ZGB@2|Bacteria,2GK6M@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_3995,4539364,4539975,-,hypothetical protein,-,Op2986
XNR_RS19790,afsQ2,"COG0642@1|root,COG2205@2|Bacteria,2GK1J@201174|Actinobacteria",Histidine kinase,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",2.7.13.3,ko:K07654,"ko02020,map02020",M00461,-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022",-,-,-,"HAMP,HATPase_c,HisKA",NC_020990.1,XNR_3996,4539972,4541543,-,HAMP domain-containing sensor histidine kinase,Signal transduction mechanisms,Op2986
XNR_RS19795,afsQ1,"COG0745@1|root,COG0745@2|Bacteria,2GJRR@201174|Actinobacteria",Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",-,-,-,-,-,-,-,-,-,-,"Response_reg,Trans_reg_C",NC_020990.1,XNR_3997,4541654,4542331,-,two-component system response regulator AfsQ1,Signal transduction mechanisms,Op2986
XNR_RS19800,XNR_RS19800,"COG1595@1|root,COG1595@2|Bacteria,2GN65@201174|Actinobacteria","belongs to the sigma-70 factor family, ECF subfamily",-,-,-,-,-,-,-,-,-,-,-,"Sigma70_r2,Sigma70_r4_2",NC_020990.1,XNR_3998,4542513,4543301,+,SigE family RNA polymerase sigma factor,Transcription,Op2987
XNR_RS19805,XNR_RS19805,"29FNV@1|root,302KG@2|Bacteria,2GQJU@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_3999,4543627,4543848,-,hypothetical protein,-,Op2988
XNR_RS19810,XNR_RS19810,"2B2R4@1|root,31VB3@2|Bacteria,2GVBB@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_4000,4544205,4544420,-,hypothetical protein,-,Op2989
XNR_RS19815,XNR_RS19815,"2B1AC@1|root,31TQX@2|Bacteria,2GSUF@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_4001,4544417,4544620,-,hypothetical protein,-,Op2989
XNR_RS19820,XNR_RS19820,"2E5AY@1|root,33032@2|Bacteria,2GKU5@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_4002,4544791,4545249,+,hypothetical protein,-,Op2990
XNR_RS19825,XNR_RS19825,"COG1396@1|root,COG1396@2|Bacteria,2GK3V@201174|Actinobacteria",sequence-specific DNA binding,-,-,-,-,-,-,-,-,-,-,-,HTH_31,NC_020990.1,XNR_4003,4545536,4546387,+,helix-turn-helix transcriptional regulator,Transcription,Op2992
XNR_RS19830,XNR_RS19830,"COG0572@1|root,COG0572@2|Bacteria,2GM18@201174|Actinobacteria",ATP-binding protein,-,2.7.1.48,ko:K00876,"ko00240,ko00983,ko01100,map00240,map00983,map01100",-,"R00513,R00516,R00517,R00962,R00964,R00967,R00968,R00970,R01548,R01549,R01880,R02091,R02096,R02097,R02327,R02332,R02371,R02372,R08232","RC00002,RC00017","ko00000,ko00001,ko01000",-,-,-,PRK,NC_020990.1,XNR_4004,4546384,4547052,-,ATP-binding protein,Nucleotide transport and metabolism,Op2993
XNR_RS19835,XNR_RS19835,"28X6T@1|root,2ZJ54@2|Bacteria,2GQYJ@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_4005,4547186,4547599,+,hypothetical protein,-,Op2994
XNR_RS19840,XNR_RS19840,"COG1012@1|root,COG1012@2|Bacteria,2GKSN@201174|Actinobacteria",Aldehyde dehydrogenase,-,1.2.1.3,ko:K00128,"ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130",M00135,"R00264,R00631,R00710,R00904,R01752,R01986,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R06366,R08146","RC00047,RC00071,RC00080,RC00186,RC00218,RC00242,RC00816,RC01500","ko00000,ko00001,ko00002,ko01000",-,-,-,Aldedh,NC_020990.1,XNR_4006,4547700,4548617,-,aldehyde dehydrogenase family protein,Energy production and conversion,Op2995
XNR_RS19845,XNR_RS19845,"COG1012@1|root,COG1012@2|Bacteria,2GIWZ@201174|Actinobacteria",Belongs to the aldehyde dehydrogenase family,-,1.2.1.3,ko:K00128,"ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130",M00135,"R00264,R00631,R00710,R00904,R01752,R01986,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R06366,R08146","RC00047,RC00071,RC00080,RC00186,RC00218,RC00242,RC00816,RC01500","ko00000,ko00001,ko00002,ko01000",-,-,-,Aldedh,NC_020990.1,XNR_4007,4548607,4550082,-,aldehyde dehydrogenase family protein,Energy production and conversion,Op2995
XNR_RS19850,deoC,"COG0274@1|root,COG0274@2|Bacteria,2GJIR@201174|Actinobacteria",Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate,-,4.1.2.4,ko:K01619,"ko00030,map00030",-,R01066,"RC00436,RC00437","ko00000,ko00001,ko01000",-,-,-,DeoC,NC_020990.1,XNR_4008,4550093,4551046,-,deoxyribose-phosphate aldolase,Nucleotide transport and metabolism,Op2995
XNR_RS19855,XNR_RS19855,"COG2267@1|root,COG2267@2|Bacteria,2GM56@201174|Actinobacteria",Alpha beta hydrolase,-,1.11.1.10,ko:K00433,-,-,-,-,"ko00000,ko01000",-,-,-,Abhydrolase_1,NC_020990.1,XNR_4009,4551207,4552037,-,alpha/beta hydrolase,Lipid transport and metabolism,Op2996
XNR_RS19860,XNR_RS19860,"2E7VQ@1|root,332AI@2|Bacteria,2H192@201174|Actinobacteria",Bacterial PH domain,-,-,-,-,-,-,-,-,-,-,-,bPH_6,NC_020990.1,XNR_4010,4552390,4553001,+,PH domain-containing protein,Function unknown,Op2997
XNR_RS19865,pmmB,"COG1109@1|root,COG1109@2|Bacteria,2GJ3Q@201174|Actinobacteria",phosphoglucomutase phosphomannomutase alpha beta alpha domain II,-,"5.4.2.2,5.4.2.8","ko:K01835,ko:K01840","ko00010,ko00030,ko00051,ko00052,ko00230,ko00500,ko00520,ko00521,ko01100,ko01110,ko01120,ko01130,map00010,map00030,map00051,map00052,map00230,map00500,map00520,map00521,map01100,map01110,map01120,map01130","M00114,M00549","R00959,R01057,R01818,R08639",RC00408,"ko00000,ko00001,ko00002,ko01000",-,-,-,"PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV",NC_020990.1,XNR_4011,4553093,4554757,-,phospho-sugar mutase,Carbohydrate transport and metabolism,Op2998
XNR_RS19870,punA,"COG0005@1|root,COG0005@2|Bacteria,2GKEI@201174|Actinobacteria","The purine nucleoside phosphorylases catalyze the phosphorolytic breakdown of the N-glycosidic bond in the beta- (deoxy)ribonucleoside molecules, with the formation of the corresponding free purine bases and pentose-1-phosphate","GO:0003674,GO:0003824,GO:0004731,GO:0006139,GO:0006152,GO:0006161,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009120,GO:0009164,GO:0009987,GO:0016740,GO:0016757,GO:0016763,GO:0019439,GO:0034641,GO:0034655,GO:0034656,GO:0042278,GO:0042453,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044282,GO:0046121,GO:0046122,GO:0046124,GO:0046483,GO:0046700,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658",2.4.2.1,ko:K03783,"ko00230,ko00240,ko00760,ko01100,ko01110,map00230,map00240,map00760,map01100,map01110",-,"R01561,R01863,R01969,R02147,R02294,R02295,R02297,R02484,R02557,R02748,R08368,R10244","RC00033,RC00063,RC00122","ko00000,ko00001,ko01000",-,-,-,PNP_UDP_1,NC_020990.1,XNR_4012,4554806,4555630,-,purine-nucleoside phosphorylase,Nucleotide transport and metabolism,Op2999
XNR_RS19875,XNR_RS19875,"COG3703@1|root,COG3703@2|Bacteria,2GJM9@201174|Actinobacteria",PFAM AIG2 family protein,-,-,-,-,-,-,-,-,-,-,-,AIG2_2,NC_020990.1,XNR_4013,4555715,4556152,-,gamma-glutamylcyclotransferase,Inorganic ion transport and metabolism,Op3000
XNR_RS19880,lpdA,"COG1249@1|root,COG1249@2|Bacteria,2GMP7@201174|Actinobacteria","Catalyzes the reduction of nonspecific electron acceptors such as 2,6-dimethyl-1,4-benzoquinone and 5-hydroxy-1,4-naphthaquinone","GO:0000166,GO:0003674,GO:0003824,GO:0003955,GO:0005488,GO:0008150,GO:0008152,GO:0009405,GO:0016491,GO:0016651,GO:0016655,GO:0036094,GO:0043167,GO:0043168,GO:0044419,GO:0048037,GO:0050660,GO:0050661,GO:0050662,GO:0051704,GO:0055114,GO:0070401,GO:0097159,GO:1901265,GO:1901363",1.8.1.4,ko:K00382,"ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00036,M00307,M00532","R00209,R01221,R01698,R03815,R07618,R08549","RC00004,RC00022,RC00583,RC02742,RC02833,RC02834","br01601,ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"Pyr_redox_2,Pyr_redox_dim",NC_020990.1,XNR_4014,4556280,4557728,+,NAD(P)H-quinone dehydrogenase,Energy production and conversion,Op3001
XNR_RS19885,XNR_RS19885,"COG1349@1|root,COG1349@2|Bacteria,2GISD@201174|Actinobacteria",COG1349 Transcriptional regulators of sugar metabolism,-,-,-,-,-,-,-,-,-,-,-,"DeoRC,HTH_DeoR",NC_020990.1,XNR_4015,4557995,4558993,+,DeoR/GlpR family DNA-binding transcription regulator,Transcription,Op3002
XNR_RS19890,XNR_RS19890,"COG1309@1|root,COG1309@2|Bacteria,2IMN4@201174|Actinobacteria",transcriptional regulator,-,-,-,-,-,-,-,-,-,-,-,TetR_N,NC_020990.1,XNR_4016,4559027,4559602,-,TetR/AcrR family transcriptional regulator,Transcription,Op3003
XNR_RS19895,XNR_RS19895,"COG3391@1|root,COG3391@2|Bacteria,2GNC3@201174|Actinobacteria",amine dehydrogenase activity,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_4018,4559990,4561072,-,hypothetical protein,Function unknown,Op3005
XNR_RS19900,bccA,"COG4770@1|root,COG4770@2|Bacteria,2GIZP@201174|Actinobacteria",carboxylase,-,"6.3.4.14,6.4.1.2,6.4.1.3",ko:K11263,"ko00061,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200,map01212","M00082,M00741","R00742,R01859,R04385","RC00040,RC00097,RC00253,RC00367,RC00609","ko00000,ko00001,ko00002,ko01000",-,-,-,"Biotin_carb_C,Biotin_carb_N,Biotin_lipoyl,CPSase_L_D2",NC_020990.1,XNR_4019,4561352,4563124,-,ATP-grasp domain-containing protein,Lipid transport and metabolism,Op3006
XNR_RS19905,XNR_RS19905,"2CCDQ@1|root,341UY@2|Bacteria,2IHZF@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_4020,4563553,4564059,+,hypothetical protein,-,Op3007
XNR_RS19910,maf,"COG0424@1|root,COG0424@2|Bacteria,2GNI0@201174|Actinobacteria",Maf-like protein,"GO:0005575,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944",-,ko:K06287,-,-,-,-,ko00000,-,-,-,"Maf,NUDIX",NC_020990.1,XNR_4021,4564616,4565215,-,Maf family protein,"Cell cycle control, cell division, chromosome partitioning",Op3008
XNR_RS19915,XNR_RS19915,"28WJD@1|root,2ZIJE@2|Bacteria,2GR6B@201174|Actinobacteria",Acyl-CoA carboxylase epsilon subunit,-,-,-,-,-,-,-,-,-,-,-,ACC_epsilon,NC_020990.1,XNR_4023,4565494,4565697,-,acyl-CoA carboxylase subunit epsilon,Function unknown,Op3009
XNR_RS19920,pccB,"COG4799@1|root,COG4799@2|Bacteria,2GIRU@201174|Actinobacteria","Acetyl-CoA carboxylase, carboxyltransferase component subunits alpha and beta","GO:0003674,GO:0003824,GO:0003989,GO:0004658,GO:0005488,GO:0005515,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006082,GO:0006629,GO:0006631,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009317,GO:0009987,GO:0015977,GO:0016020,GO:0016042,GO:0016054,GO:0016421,GO:0016874,GO:0016885,GO:0019752,GO:0030312,GO:0032787,GO:0032991,GO:0042802,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046395,GO:0071704,GO:0071944,GO:0072329,GO:1901575,GO:1902494","2.1.3.15,6.4.1.3",ko:K01966,"ko00280,ko00630,ko00640,ko01100,ko01120,ko01130,ko01200,map00280,map00630,map00640,map01100,map01120,map01130,map01200","M00373,M00741",R01859,"RC00097,RC00609","ko00000,ko00001,ko00002,ko01000",-,-,-,Carboxyl_trans,NC_020990.1,XNR_4024,4565729,4567336,-,acyl-CoA carboxylase subunit beta,Lipid transport and metabolism,Op3009
XNR_RS19925,birA,"COG0340@1|root,COG0340@2|Bacteria,2GN8Q@201174|Actinobacteria",biotin lipoate A B protein ligase,-,6.3.4.15,ko:K03524,"ko00780,ko01100,map00780,map01100",-,"R01074,R05145","RC00043,RC00070,RC00096,RC02896","ko00000,ko00001,ko01000,ko03000",-,-,-,"BPL_C,BPL_LplA_LipB",NC_020990.1,XNR_4025,4567660,4568544,+,biotin--[acetyl-CoA-carboxylase] ligase,Coenzyme transport and metabolism,Op3010
XNR_RS19930,cya,"COG2114@1|root,COG2114@2|Bacteria,2GN02@201174|Actinobacteria",PFAM Adenylyl cyclase class-3 4 guanylyl cyclase,-,4.6.1.1,ko:K01768,"ko00230,ko02025,ko04113,ko04213,map00230,map02025,map04113,map04213",M00695,"R00089,R00434",RC00295,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Ad_Cy_reg,Guanylate_cyc",NC_020990.1,XNR_4026,4568617,4569864,+,adenylate/guanylate cyclase domain-containing protein,Signal transduction mechanisms,Op3011
XNR_RS19935,yngF,"COG1024@1|root,COG1024@2|Bacteria,2I2PC@201174|Actinobacteria",Enoyl-CoA hydratase,-,-,-,-,-,-,-,-,-,-,-,ECH_1,NC_020990.1,XNR_4027,4570143,4570931,+,enoyl-CoA hydratase-related protein,Lipid transport and metabolism,Op3012
XNR_RS19940,XNR_RS19940,"COG2199@1|root,COG3706@2|Bacteria,2GKFM@201174|Actinobacteria",diguanylate cyclase,-,-,-,-,-,-,-,-,-,-,-,"GAF,GGDEF",NC_020990.1,XNR_4028,4571332,4572513,+,GGDEF domain-containing protein,Signal transduction mechanisms,Op3013
XNR_RS19945,hutH,"COG2986@1|root,COG2986@2|Bacteria,2GJZW@201174|Actinobacteria",Histidine ammonia-lyase,-,4.3.1.3,ko:K01745,"ko00340,ko01100,map00340,map01100",M00045,R01168,RC00361,"ko00000,ko00001,ko00002,ko01000",-,-,-,Lyase_aromatic,NC_020990.1,XNR_4029,4572600,4574141,+,histidine ammonia-lyase,Amino acid transport and metabolism,Op3014
XNR_RS19950,XNR_RS19950,"28QWR@1|root,2ZDBV@2|Bacteria,2GS1X@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_4030,4574393,4574707,-,hypothetical protein,-,Op3015
XNR_RS19955,XNR_RS19955,"COG1376@1|root,COG1376@2|Bacteria,2GJBA@201174|Actinobacteria",ErfK YbiS YcfS YnhG family protein,-,-,-,-,-,-,-,-,-,-,-,"Big_5,YkuD",NC_020990.1,XNR_4031,4575127,4576386,+,Ig-like domain-containing protein,"Replication, recombination and repair",Op3016
