sequence_ID,score,locus_tag,gene_name,PFAMs,start,end,strand,gene_product,COG,operon,family,conserved,Orthogroup,eggNOG_OGs,comments
WP_003951364.1,0.9662,XNR_RS04855,XNR_RS04855,"GerE,Response_reg",1152610,1153281,+,response regulator transcription factor,Signal transduction mechanisms,Op717,GerE,N6,OG0001128,2ICZU,
WP_015506672.1,0.5396,XNR_RS30570,XNR_RS30570,"AAA_22,TIR_2,TniB",536,1609,-,hypothetical protein,-,Op0,TIR-NBS-LRR,unknown,,,
WP_008415787.1,0.9988,XNR_RS17685,XNR_RS17685,"AsnC_trans_reg,HTH_AsnC-type",4087697,4088152,+,Lrp/AsnC family transcriptional regulator,Transcription,Op2687,AsnC,N6,OG0000022,2HA3J,
WP_003949568.1,0.9996,XNR_RS13900,XNR_RS13900,MarR_2,3186224,3186769,-,MarR family transcriptional regulator,Transcription,Op2084,MarR,N0,OG0000047,2GKVU,
WP_015507939.1,0.9971,XNR_RS22300,XNR_RS22300,"MarR,MarR_2",5118918,5119340,-,MarR family transcriptional regulator,Transcription,Op3364,MarR,N6,OG0002770,2IHYF,
WP_003949158.1,0.9993,XNR_RS15960,XNR_RS15960,HTH_5,3666533,3666928,-,metalloregulator ArsR/SmtB family transcription factor,Transcription,Op2407,ArsR,N4,OG0000063,2IQDH,
WP_003946847.1,0.9927,XNR_RS27475,XNR_RS27475,"AsnC_trans_reg,HTH_24,HTH_AsnC-type",6258421,6258912,-,Lrp/AsnC family transcriptional regulator,Transcription,Op4145,AsnC,N2,OG0000022,2GMSR,
WP_008406473.1,0.9981,XNR_RS26475,XNR_RS26475,"MarR,MarR_2",6042936,6043436,-,MarR family transcriptional regulator,Transcription,Op3993,MarR,N6,OG0000237,2IG84,
WP_003951675.1,0.9362,XNR_RS03305,XNR_RS03305,TrmB,786115,787098,+,hypothetical protein,Transcription,Op501,TrmB,N6,OG0001368,2I334,
WP_086014547.1,0.9827,XNR_RS13290,XNR_RS13290,"rve,rve_2,rve_3",3047475,3048125,-,IS3 family transposase,"Replication, recombination and repair",Op1992,IS3,N6,OG0000279,2GKW1,
WP_003950353.1,0.6396,XNR_RS09925,XNR_RS09925,ParE_toxin,2359278,2359529,+,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",Op1472,None,unknown,,2IRES,
WP_003951696.1,0.7554,XNR_RS03200,XNR_RS03200,-,761324,761560,+,hypothetical protein,-,Op485,None,N6,OG0002093,,
WP_003950280.1,0.9974,XNR_RS10290,pecS,"MarR,MarR_2",2440016,2440513,+,MarR family transcriptional regulator,Transcription,Op1528,MarR,N6,OG0001122,2GJ6W,pecM regulator in coelicolor (pecM may have a role in regulating the balance between different secondary metabolites in streptomyces). Possibly involved in reactive oxygen species resistance).
WP_049978838.1,0.999,XNR_RS23575,XNR_RS23575,"GerE,Response_reg",5411928,5412599,+,response regulator transcription factor,Signal transduction mechanisms,Op3574,GerE,N6,OG0006638,2GIVA,
WP_003949167.1,0.9975,XNR_RS15910,XNR_RS15910,"GerE,Response_reg",3657629,3658315,+,response regulator transcription factor,Signal transduction mechanisms,Op2399,GerE,N6,OG0000003,2GJ46,
WP_003947212.1,0.9966,XNR_RS25645,XNR_RS25645,"GerE,Response_reg",5876176,5876853,-,response regulator transcription factor,Signal transduction mechanisms,Op3873,GerE,N6,OG0000003,2GJ46,
WP_003947117.1,0.995,XNR_RS26125,XNR_RS26125,"GerE,Response_reg",5978149,5978817,+,response regulator transcription factor,Signal transduction mechanisms,Op3945,GerE,N6,OG0000003,2GJ46,
WP_010641484.1,0.9903,XNR_RS04460,XNR_RS04460,"HTH_IclR,MarR_2,ROK",1066366,1067562,+,ROK family transcriptional regulator,Carbohydrate transport and metabolism,Op669,ROK,Sal,OG0000597,2GJ2S,
WP_003947662.1,0.984,XNR_RS23350,XNR_RS23350,"GerE,Response_reg",5360600,5361283,+,response regulator transcription factor,Signal transduction mechanisms,Op3539,GerE,N6,OG0000003,2GJ46,
WP_008405479.1,0.9833,XNR_RS22405,XNR_RS22405,"GerE,Response_reg",5139844,5140527,-,response regulator transcription factor,Signal transduction mechanisms,Op3382,GerE,N6,OG0000003,2GJ46,
WP_003947926.1,0.8757,XNR_RS22025,XNR_RS22025,"HTH_24,ROK",5061433,5062650,+,ROK family protein,Carbohydrate transport and metabolism,Op3323,ROK,Sal,OG0000597,2GJ2S,
WP_015507016.1,0.6555,XNR_RS05795,XNR_RS05795,"HTH_30,PucR",1405486,1407180,-,PucR family transcriptional regulator,"Secondary metabolites biosynthesis, transport and catabolism",Op854,PucR,N6,OG0002879,2GNDH,
WP_008407389.1,0.9991,XNR_RS26865,lrp_3,"AsnC_trans_reg,HTH_24,HTH_AsnC-type",6127185,6127625,+,Lrp/AsnC family transcriptional regulator,Transcription,Op4046,AsnC,N6,OG0000022,2GK3G,
WP_003950460.1,0.9987,XNR_RS09365,XNR_RS09365,"GerE,Response_reg",2229553,2230356,-,response regulator transcription factor,Signal transduction mechanisms,Op1388,GerE,N6,OG0000003,2GKBX,
WP_003947443.1,0.9971,XNR_RS24450,sufR,"HTH_11,HTH_20,HTH_24,HTH_5,MarR_2",5615997,5616740,+,transcriptional regulator,Transcription,Op3694,MarR,N4,OG0003582,2GN8W,
WP_003947602.1,0.9512,XNR_RS23640,XNR_RS23640,-,5426952,5427317,+,Rv2175c family DNA-binding protein,Function unknown,Op3584,None,N4,OG0003650,2IHPW,
WP_015507267.1,0.9757,XNR_RS10295,XNR_RS10295,"GerE,Response_reg",2441751,2442524,-,response regulator transcription factor,Signal transduction mechanisms,Op1529,GerE,N6,OG0006439,2GJ5I,
WP_003951686.1,0.5461,XNR_RS03250,XNR_RS03250,"HTH_30,PucR",772872,774545,+,PucR family transcriptional regulator ligand-binding domain-containing protein,"Secondary metabolites biosynthesis, transport and catabolism",Op490,PucR,N6,OG0006162,2GKTX,
WP_003949358.1,0.9843,XNR_RS14975,XNR_RS14975,-,3436827,3437375,-,DNA-binding protein,Transcription,Op2250,None,N6,OG0005923,2GNCD,
WP_003949623.1,0.9974,XNR_RS13595,XNR_RS13595,"HTH_11,WYL",3121188,3122231,-,transcriptional regulator,Transcription,Op2040,WYL,N6,OG0000230,2GIZC,
WP_003947319.1,0.9943,XNR_RS25115,XNR_RS25115,"HTH_11,WYL",5757143,5758153,+,YafY family protein,Transcription,Op3787,YafY,N6,OG0000230,2GIZC,
WP_003946948.1,0.991,XNR_RS26980,XNR_RS26980,DUF742,6154179,6154574,+,DUF742 domain-containing protein,Transcription,Op4062,None,N6,OG0002080,2GQV6,
WP_044474569.1,0.9975,XNR_RS22385,XNR_RS22385,MerR_1,5135467,5135964,+,MerR family transcriptional regulator,Transcription,Op3379,MerR,N6,OG0000031,2IFX0,
WP_015508228.1,0.8028,XNR_RS27510,XNR_RS27510,"HTH_IclR,MarR_2,ROK",6266211,6267368,-,ROK family protein,Carbohydrate transport and metabolism,Op4152,ROK,N6,OG0004157,2GNFJ,
WP_003950242.1,0.9868,XNR_RS10480,XNR_RS10480,MerR_1,2487847,2488524,+,MerR family transcriptional regulator,Transcription,Op1558,MerR,N2,OG0003885,2GKSZ,
WP_030765822.1,0.9953,XNR_RS15785,XNR_RS15785,"HTH_11,WYL",3631380,3632357,-,WYL domain-containing protein,Transcription,Op2379,WYL,Sal,OG0000230,2GKFU,
WP_003947680.1,0.9755,XNR_RS23260,XNR_RS23260,"HTH_11,WYL",5339211,5340188,-,YafY family protein,Transcription,Op3526,YafY,Sal,OG0000230,2GKFU,
WP_235208979.1,0.9929,XNR_RS21230,XNR_RS21230,"HTH_24,MarR_2,ROK",4872335,4873591,-,ROK family transcriptional regulator,Carbohydrate transport and metabolism,Op3208,ROK,N6,OG0002112,2GJ3W,
WP_015508181.1,0.9907,XNR_RS26785,XNR_RS26785,"HTH_24,MarR_2,ROK",6110155,6111351,+,ROK family transcriptional regulator,Carbohydrate transport and metabolism,Op4037,ROK,N6,OG0002112,2GJ3W,
WP_003951821.1,0.9933,XNR_RS02620,XNR_RS02620,"AAA_16,GerE",626287,629178,-,LuxR family transcriptional regulator,Transcription,Op398,LuxR,Sal,OG0002076,2GJIA,
WP_003950839.1,0.5676,XNR_RS07450,XNR_RS07450,-,1785108,1786352,-,alanine-phosphoribitol ligase,Energy production and conversion,Op1094,None,N2,OG0003096,2I30P,
WP_003949312.1,0.998,XNR_RS15205,XNR_RS15205,"GerE,Response_reg",3483710,3484372,-,response regulator transcription factor,Signal transduction mechanisms,Op2283,GerE,N6,OG0000003,2GK4B,
WP_003952056.1,0.9933,XNR_RS01460,XNR_RS01460,MerR_1,355263,356000,+,MerR family transcriptional regulator,Transcription,Op232,MerR,N6,OG0006190,2GKAU,
WP_008405319.1,0.9921,XNR_RS20620,XNR_RS20620,"Response_reg,Trans_reg_C",4723173,4723862,+,response regulator transcription factor,Signal transduction mechanisms,Op3120,OmpR,N6,OG0000177,2GMVN,
WP_003949596.1,0.9715,XNR_RS13755,XNR_RS13755,HxlR,3153737,3154117,-,helix-turn-helix domain-containing protein,Transcription,Op2067,HxlR,N2,OG0000076,2IQNN,
WP_015507284.1,0.9977,XNR_RS10515,XNR_RS10515,"GerE,Response_reg",2494398,2495087,+,response regulator transcription factor,Signal transduction mechanisms,Op1562,GerE,N6,OG0000003,2GN80,
WP_003949355.1,0.7998,XNR_RS14990,XNR_RS14990,"MerR,MerR_1",3438980,3439312,+,MerR family transcriptional regulator,Transcription,Op2252,MerR,N6,OG0002837,2IKRM,
WP_003951492.1,0.9116,XNR_RS04220,XNR_RS04220,HxlR,1002328,1002756,+,helix-turn-helix domain-containing protein,Transcription,Op631,HxlR,N6,OG0000076,2IQ8N,
WP_003950911.1,0.9987,XNR_RS07110,XNR_RS07110,"Response_reg,Trans_reg_C",1709778,1710443,-,response regulator transcription factor,Signal transduction mechanisms,Op1045,OmpR,N6,OG0000006,2GMG9,
WP_003947639.1,0.9609,XNR_RS23460,XNR_RS23460,"Response_reg,Trans_reg_C",5388749,5389414,-,response regulator transcription factor,Signal transduction mechanisms,Op3557,OmpR,N6,OG0000006,2GMG9,
WP_003949716.1,0.8875,XNR_RS13140,XNR_RS13140,MerR_1,3012920,3013879,+,MerR family transcriptional regulator,Transcription,Op1965,MerR,N6,OG0002846,2GPCQ,
WP_015508244.1,0.9543,XNR_RS27800,XNR_RS27800,ROK,6327531,6328799,-,ROK family transcriptional regulator,Carbohydrate transport and metabolism,Op4195,ROK,N6,OG0002893,2GKMZ,
WP_003949942.1,0.793,XNR_RS11955,XNR_RS11955,"MerR,MerR_1",2800245,2801150,+,MerR family transcriptional regulator,Transcription,Op1794,MerR,N6,OG0005982,2GNID,
WP_015506931.1,0.5977,XNR_RS04340,XNR_RS04340,"MerR,MerR_1",1032827,1033567,+,TioE family transcriptional regulator,Transcription,Op650,MerR,N6,OG0006388,2HDU8,
WP_003949709.1,0.5357,XNR_RS13175,XNR_RS13175,"MerR,MerR_1",3018698,3019075,+,MerR family transcriptional regulator,Transcription,Op1971,MerR,Sal,OG0000031,2IKYH,
WP_003949975.1,0.9935,XNR_RS11785,XNR_RS11785,"GerE,Response_reg",2768702,2769373,-,response regulator transcription factor,Signal transduction mechanisms,Op1765,GerE,Sal,OG0000003,2GMUG,
WP_003952272.1,0.9023,XNR_RS00365,XNR_RS00365,"GerE,Response_reg",94729,95406,+,response regulator transcription factor,Signal transduction mechanisms,Op63,GerE,Sal,OG0000003,2GMUG,
WP_003947783.1,0.9877,XNR_RS22750,XNR_RS22750,HxlR,5217504,5217845,+,helix-turn-helix domain-containing protein,Transcription,Op3439,HxlR,N1,OG0000076,2IQWP,
WP_015507550.1,0.6461,XNR_RS15100,XNR_RS15100,HxlR,3460498,3460959,+,helix-turn-helix domain-containing protein,Transcription,Op2269,HxlR,N1,OG0000076,2IQWP,
WP_015507991.1,0.9155,XNR_RS23040,XNR_RS23040,TetR_N,5284504,5285259,-,TetR/AcrR family transcriptional regulator,Transcription,Op3490,TetR,N6,OG0004148,2GK1H,
WP_015506878.1,0.9357,XNR_RS03375,litR,"B12-binding,B12-binding_2,MerR_1",799348,800352,+,MerR family transcriptional regulator,Transcription,Op514,MerR,N6,OG0006382,2I8T8,Controls light-induced carotenogenesis in coelicolor.
WP_003951400.1,0.996,XNR_RS04665,XNR_RS04665,"HTH_1,LysR_substrate",1107365,1108333,-,LysR substrate-binding domain-containing protein,Transcription,Op693,LysR,N2,OG0000011,2I93E,
WP_015506795.1,0.8101,XNR_RS02120,XNR_RS02120,"TetR_C_6,TetR_N",513783,514382,+,TetR family transcriptional regulator C-terminal domain-containing protein,Transcription,Op325,TetR,Sal,OG0001155,2GKHT,
WP_015507419.1,0.9719,XNR_RS12815,XNR_RS12815,HTH_31,2954665,2955495,-,helix-turn-helix transcriptional regulator,Transcription,Op1914,HTH,Sal,OG0000210,2GNSP,
WP_003949025.1,0.6603,XNR_RS16600,XNR_RS16600,-,3787541,3788380,+,helix-turn-helix transcriptional regulator,Transcription,Op2512,HTH,Sal,OG0000210,2GNSP,
WP_003952203.1,0.9455,XNR_RS00705,XNR_RS00705,"DUF2083,HTH_3,HTH_31,Peptidase_M78",174375,175814,-,short-chain fatty acyl-CoA regulator family protein,Transcription,Op120,HTH,N4,OG0001972,2GMWU,
WP_008408721.1,0.9076,XNR_RS04685,XNR_RS04685,"TetR_N,WHG",1111311,1111928,-,TetR/AcrR family transcriptional regulator,Transcription,Op697,TetR,Sal,OG0001667,2ICTB,
WP_003952223.1,0.9946,XNR_RS00615,XNR_RS00615,"HTH_1,LysR_substrate",152893,153822,+,LysR family transcriptional regulator,Transcription,Op106,LysR,N0,OG0000011,2H0AE,
WP_003948576.1,0.9788,XNR_RS18810,XNR_RS18810,HTH_20,4313647,4314294,-,helix-turn-helix domain-containing protein,Transcription,Op2827,HTH,Sal,OG0002077,2IA2N,
WP_003946807.1,0.9449,XNR_RS27675,XNR_RS27675,"DJ-1_PfpI,HTH_18",6296996,6297916,+,AraC family transcriptional regulator,Transcription,Op4173,AraC,N2,OG0000074,2GNHD,
WP_008413185.1,0.7064,XNR_RS10390,XNR_RS10390,-,2464919,2466133,+,helix-turn-helix transcriptional regulator,Transcription,Op1544,HTH,N6,OG0004036,2HZUY,
WP_003949870.1,0.898,XNR_RS12310,XNR_RS12310,"Cupin_6,HTH_18",2860958,2861905,-,AraC family transcriptional regulator,Transcription,Op1848,AraC,N6,OG0000518,2I2TT,
WP_003949352.1,0.768,XNR_RS15005,XNR_RS15005,TetR_N,3440957,3441619,-,TetR family transcriptional regulator,Transcription,Op2255,TetR,N6,OG0002003,2IGZF,
WP_008412823.1,0.7244,XNR_RS27395,XNR_RS27395,"Cupin_2,HTH_3,HTH_31",6243427,6243999,+,XRE family transcriptional regulator,Transcription,Op4133,Xre,N2,OG0000581,2I3S1,
WP_015507622.1,0.5063,XNR_RS16410,XNR_RS16410,TetR_N,3748682,3749278,+,TetR/AcrR family transcriptional regulator,Transcription,Op2483,TetR,unknown,,2IAJN,
WP_003950588.1,0.6615,XNR_RS08730,XNR_RS08730,-,2081361,2082122,+,helix-turn-helix transcriptional regulator,-,Op1290,HTH,unknown,,2HBUC,
WP_008413403.1,0.9886,XNR_RS04230,XNR_RS04230,"Cupin_2,HTH_3",1003488,1004087,-,helix-turn-helix transcriptional regulator,Transcription,Op633,HTH,N2,OG0000581,2IS8W,
WP_003951593.1,0.7682,XNR_RS03710,XNR_RS03710,TetR_N,882503,883108,+,TetR family transcriptional regulator,Transcription,Op560,TetR,Sal,OG0001339,2IFQ6,
WP_015507723.1,0.9934,XNR_RS18450,XNR_RS18450,"FCD,GntR",4260510,4261142,-,GntR family transcriptional regulator,Transcription,Op2783,GntR,N2,OG0000024,2IDFE,
WP_003949353.1,0.5708,XNR_RS15000,cspA,CSD,3440450,3440653,+,cold-shock protein,Transcription,Op2254,CSD,N6,OG0000038,,
WP_003951733.1,0.954,XNR_RS03030,sigI,"Sigma70_r2,Sigma70_r4_2",724296,725444,-,sigma factor-like helix-turn-helix DNA-binding protein,Transcription,Op455,Sigma,N6,OG0002047,2GJ36,
WP_003951662.1,0.9736,XNR_RS03370,XNR_RS03370,"Sigma70_r2,Sigma70_r4,Sigma70_r4_2",798623,799207,-,sigma-70 family RNA polymerase sigma factor,Transcription,Op513,Sigma,N6,OG0006161,2IKQ7,
WP_255219935.1,0.9938,XNR_RS05170,sigA,"Sigma70_r1_2,Sigma70_r2,Sigma70_r3,Sigma70_r4",1247138,1248676,-,RNA polymerase sigma factor,Transcription,Op759,Sigma,N4,OG0000176,2GK3Z,
WP_003951133.1,0.9985,XNR_RS05970,whiG,"Sigma70_r2,Sigma70_r3,Sigma70_r4",1450085,1450924,-,RNA polymerase sigma factor WhiG,Transcription,Op884,Sigma,N4,OG0000114,2GKBK,
WP_003950893.1,,XNR_RS07195,XNR_RS07195,STAS_2,1730635,1730958,-,Belongs to the anti-sigma-factor antagonist family,Signal transduction mechanisms,Op1060,Sigma,,,,
WP_015508257.1,0.9881,XNR_RS27995,XNR_RS27995,"LytTR,Response_reg",6373645,6374409,+,LytTR family DNA-binding domain-containing protein,Signal transduction mechanisms,Op4228,LytTR,N6,OG0001743,2GKK5,
WP_003946626.1,0.9995,XNR_RS28590,XNR_RS28590,"HTH_27,MarR_2",6498158,6498598,+,MarR family winged helix-turn-helix transcriptional regulator,Transcription,Op4311,MarR,unknown,,,
WP_003950854.1,0.9988,XNR_RS07380,XNR_RS07380,"Sigma70_r2,Sigma70_r3,Sigma70_r4",1770516,1771412,-,RNA polymerase sigma factor SigF,Transcription,Op1083,Sigma,N6,OG0000114,2GKBB,
WP_003950826.1,0.9834,XNR_RS07515,XNR_RS07515,"Sigma70_r2,Sigma70_r4_2",1801431,1802078,+,RNA polymerase sigma factor,Transcription,Op1103,Sigma,N6,OG0000160,2GM5V,
WP_015507109.1,,XNR_RS07520,XNR_RS07520,zf-HC2,1802075,1802965,+,Anti-sigma factor,Signal transduction mechanisms,Op1103,Sigma,,,,
WP_003950797.1,0.994,XNR_RS07675,XNR_RS07675,,1839614,1840225,+,RNA polymerase sigma factor,X,Op1125,Sigma,unknown,,,
WP_003950781.1,,XNR_RS07755,rsbW,HATPase_c_2,1853525,1853938,+,anti-sigma regulatory factor,Signal transduction mechanisms,Op1138,Sigma,,,,
WP_008410987.1,0.998,XNR_RS03580,XNR_RS03580,"MarR,MarR_2",849002,849430,-,MarR family transcriptional regulator,Transcription,Op541,MarR,N6,OG0000237,2IG43,
WP_226660343.1,0.9984,XNR_RS07760,sigF,"Sigma70_r2,Sigma70_r3,Sigma70_r4",1853827,1855032,+,RNA polymerase sigma factor SigF,Transcription,Op1139,Sigma,N4,OG0000114,2GKSY,
WP_026048295.1,0.9897,XNR_RS07865,sigH,"Sigma70_r2,Sigma70_r4_2",1878885,1879559,-,sigma-70 family RNA polymerase sigma factor,Transcription,Op1154,Sigma,N4,OG0000160,2GJ02,
WP_015507139.1,0.9812,XNR_RS08220,sigE,"Sigma70_r2,Sigma70_r4_2",1965927,1966736,-,RNA polymerase sigma factor SigE,Transcription,Op1212,Sigma,N4,OG0000160,2GK4C,
WP_003950387.1,,XNR_RS09750,XNR_RS09750,"STAS,STAS_2",2320366,2320734,-,Belongs to the anti-sigma-factor antagonist family,Signal transduction mechanisms,Op1445,Sigma,,,,
WP_030769855.1,0.9981,XNR_RS09755,XNR_RS09755,"Sigma70_r2,Sigma70_r3,Sigma70_r4",2320976,2321962,+,RNA polymerase sigma factor SigF,Transcription,Op1446,Sigma,N6,OG0000114,2GJ28,
WP_003950213.1,0.9906,XNR_RS10635,hrdD,"Sigma70_r1_2,Sigma70_r2,Sigma70_r3,Sigma70_r4",2518287,2519285,-,sigma-70 family RNA polymerase sigma factor,Transcription,Op1581,Sigma,N4,OG0000176,2GK3Z,
WP_003950100.1,,XNR_RS11170,XNR_RS11170,"STAS,STAS_2",2629934,2630308,-,Belongs to the anti-sigma-factor antagonist family,Signal transduction mechanisms,Op1672,Sigma,,,,
WP_003950926.1,0.993,XNR_RS07035,XNR_RS07035,"MarR,MarR_2",1696475,1696987,-,MarR family transcriptional regulator,Transcription,Op1037,MarR,Sal,OG0001982,2GKZA,
WP_008411083.1,0.9901,XNR_RS20000,XNR_RS20000,MarR,4583854,4584408,-,MarR family transcriptional regulator,Transcription,Op3024,MarR,Sal,OG0000237,2HGXY,
WP_015507389.1,,XNR_RS12225,rsbR,"RsbRD_N,STAS",2844810,2845664,+,Anti-anti-sigma regulatory factor (Antagonist of anti-sigma factor),Signal transduction mechanisms,Op1837,Sigma,,,,
WP_003949885.1,,XNR_RS12230,rsbS,STAS,2845661,2846041,+,Anti-anti-sigma regulatory factor (Antagonist of anti-sigma factor),Signal transduction mechanisms,Op1837,Sigma,,,,
WP_003949164.1,0.991,XNR_RS15925,XNR_RS15925,MarR_2,3660781,3661245,+,MarR family transcriptional regulator,Transcription,Op2402,MarR,N6,OG0001130,2GP6A,
WP_003950915.1,0.9862,XNR_RS07090,XNR_RS07090,MarR_2,1706635,1707111,+,MarR family transcriptional regulator,Transcription,Op1043,MarR,N6,OG0001130,2GP6A,
WP_018567872.1,,XNR_RS12235,rsbT,"HATPase_c,HATPase_c_2,Sigma70_r2",2846041,2846457,+,anti-sigma regulatory factor,Signal transduction mechanisms,Op1837,Sigma,,,,
WP_003951507.1,0.9997,XNR_RS04140,XNR_RS04140,"AsnC_trans_reg,HTH_24,HTH_AsnC-type",985722,986219,+,Lrp/AsnC family transcriptional regulator,Transcription,Op621,AsnC,N6,OG0001671,2H7NM,
WP_003950034.1,0.9994,XNR_RS11485,XNR_RS11485,"MarR,MarR_2",2697983,2698420,-,MarR family transcriptional regulator,Transcription,Op1718,MarR,N6,OG0001987,2IFQ9,
WP_003950546.1,0.8648,XNR_RS08940,XNR_RS08940,"AsnC_trans_reg,HTH_24,HTH_AsnC-type",2124267,2124737,+,Lrp/AsnC family transcriptional regulator,Transcription,Op1328,AsnC,N6,OG0001671,2H7NM,
WP_015507554.1,0.9993,XNR_RS15140,XNR_RS15140,"AsnC_trans_reg,HTH_24,HTH_AsnC-type",3468426,3468890,-,Lrp/AsnC family transcriptional regulator,Transcription,Op2275,AsnC,N6,OG0006482,2HVG9,
WP_008406376.1,0.5804,XNR_RS26740,XNR_RS26740,"AsnC_trans_reg,HTH_AsnC-type",6100535,6100993,+,Lrp/AsnC family transcriptional regulator,Transcription,Op4028,AsnC,N4,OG0000022,2GN6I,
WP_010643524.1,,XNR_RS12240,XNR_RS12240,"HATPase_c_2,SpoIIE",2846454,2847524,+,Anti-sigma regulatory factor Ser Thr protein kinase,Signal transduction mechanisms,Op1837,Sigma,,,,
WP_003950210.1,0.9988,XNR_RS10650,XNR_RS10650,"MarR,MarR_2",2520942,2521460,+,MarR family transcriptional regulator,Transcription,Op1584,MarR,N6,OG0001130,2GMV1,
WP_003950833.1,0.9995,XNR_RS07480,XNR_RS07480,"MarR,MarR_2",1792468,1792923,-,MarR family transcriptional regulator,Transcription,Op1097,MarR,N6,OG0000237,2IQNM,
WP_003949661.1,,XNR_RS13405,XNR_RS13405,HATPase_c_2,3077904,3078332,-,anti-sigma regulatory factor,Signal transduction mechanisms,Op2011,Sigma,,,,
WP_003975386.1,,XNR_RS13410,rsbV,STAS,3078620,3078961,-,Belongs to the anti-sigma-factor antagonist family,Signal transduction mechanisms,Op2012,Sigma,,,,
WP_003951151.1,0.997,XNR_RS05890,XNR_RS05890,"AsnC_trans_reg,HTH_AsnC-type",1431258,1431746,+,Lrp/AsnC family transcriptional regulator,Transcription,Op871,AsnC,N6,OG0000022,2GP1P,
WP_003952176.1,0.9243,XNR_RS00835,XNR_RS00835,"MarR,MarR_2",205701,206171,+,MarR family transcriptional regulator,Transcription,Op134,MarR,N6,OG0006202,2IHP0,
WP_008413891.1,0.9917,XNR_RS13665,XNR_RS13665,"Sigma70_r2,Sigma70_r4_2",3136493,3137086,-,SigE family RNA polymerase sigma factor,Transcription,Op2052,Sigma,N6,OG0006298,2GKFQ,
WP_003949427.1,0.9997,XNR_RS14645,XNR_RS14645,"MarR,MarR_2",3358190,3358648,+,MarR family transcriptional regulator,Transcription,Op2202,MarR,N6,OG0002841,2IHUP,
WP_003949495.1,0.9967,XNR_RS14315,sigF,"Sigma70_r2,Sigma70_r3,Sigma70_r4",3279800,3280684,+,RNA polymerase sigma factor SigF,Transcription,Op2149,Sigma,N6,OG0000114,2GJ0P,
WP_003949494.1,0.9969,XNR_RS14320,sigF,"Sigma70_r2,Sigma70_r3,Sigma70_r4",3280916,3281938,+,RNA polymerase sigma factor SigF,Transcription,Op2150,Sigma,N6,OG0000114,2GKSY,
WP_030773551.1,0.9932,XNR_RS14400,sigE,"Sigma70_r2,Sigma70_r4_2",3301733,3302290,-,SigE family RNA polymerase sigma factor,Transcription,Op2163,Sigma,N6,OG0000516,2GP81,
WP_008414415.1,,XNR_RS14455,XNR_RS14455,HATPase_c_2,3314016,3314465,-,Anti-sigma regulatory factor (Ser Thr protein kinase),Signal transduction mechanisms,Op2173,Sigma,,,,
WP_003949386.1,0.5089,XNR_RS14850,sigM,"Sigma70_r2,Sigma70_r4_2",3406217,3406933,+,RNA polymerase sigma factor SigM,Transcription,Op2233,Sigma,N6,OG0000160,2GJMX,
WP_008415796.1,0.9913,XNR_RS17715,XNR_RS17715,MarR_2,4094297,4094851,-,MarR family transcriptional regulator,Transcription,Op2694,MarR,N6,OG0004113,2GNYV,
WP_015507618.1,0.6952,XNR_RS16300,XNR_RS16300,MarR,3730699,3731247,+,MarR family winged helix-turn-helix transcriptional regulator,Transcription,Op2467,MarR,N6,OG0001297,2IKZU,
WP_003949740.1,0.9824,XNR_RS13020,XNR_RS13020,"HTH_20,HTH_5",2993734,2994093,-,metalloregulator ArsR/SmtB family transcription factor,Transcription,Op1944,ArsR,N1,OG0000063,2IM0G,
WP_003948528.1,0.9217,XNR_RS19030,XNR_RS19030,"Acetyltransf_1,MarR_2",4367468,4368367,-,helix-turn-helix domain-containing GNAT family N-acetyltransferase,Transcription,Op2869,MarR,unknown,OG0004011,2GNNG,
WP_003949263.1,0.9909,XNR_RS15440,XNR_RS15440,"MarR,MarR_2",3537970,3538452,+,MarR family transcriptional regulator,Transcription,Op2326,MarR,N6,OG0002063,2IJPR,
WP_015508079.1,0.9802,XNR_RS24780,XNR_RS24780,"AsnC_trans_reg,HTH_AsnC-type",5685605,5686729,+,AsnC family transcriptional regulator,Transcription,Op3736,AsnC,N6,OG0003986,2GVHQ,
WP_010638286.1,0.9812,XNR_RS20305,XNR_RS20305,"GerE,Response_reg",4653671,4654516,+,response regulator transcription factor,Signal transduction mechanisms,Op3068,GerE,N6,OG0000003,2GNMH,
WP_003949097.1,0.9551,XNR_RS16255,XNR_RS16255,"Sigma70_r2,Sigma70_r4_2",3724383,3724892,+,SigE family RNA polymerase sigma factor,Transcription,Op2460,Sigma,N6,OG0000516,2IM6Y,
WP_015507533.1,0.9968,XNR_RS14700,XNR_RS14700,"HTH_1,TniQ",3366104,3368848,-,TniQ family protein,Transcription,Op2211,TniQ,unknown,OG0006477,2GNFI,
WP_015507633.1,0.9918,XNR_RS16640,XNR_RS16640,"HTH_11,WYL",3795919,3796947,-,WYL domain-containing protein,Transcription,Op2517,WYL,Sal,OG0000230,2GJM1,
WP_003949990.1,0.9934,XNR_RS11710,XNR_RS11710,MerR_1,2751202,2751552,+,MerR family transcriptional regulator,Transcription,Op1751,MerR,N6,OG0000031,2IPVB,
WP_003949701.1,0.9901,XNR_RS13210,XNR_RS13210,"GerE,Response_reg",3024864,3025538,-,response regulator transcription factor,Transcription,Op1977,GerE,N6,OG0000003,2IA77,
